rank,originalTitle,tconst,averageRating,numVotes,titleType,primaryTitle,startYear,runtimeMinutes,genres
91,Young Frankenstein,tt0072431,8,139488,movie,Young Frankenstein,1974,106,Comedy
92,Lawrence of Arabia,tt0056172,8.3,259162,movie,Lawrence of Arabia,1963,228,"Adventure,Biography,Drama"
93,Blazing Saddles,tt0071230,7.7,122420,movie,Blazing Saddles,1974,93,"Comedy,Western"
94,The Day the Earth Stood Still,tt0043456,7.7,75031,movie,The Day the Earth Stood Still,1951,92,"Drama,Sci-Fi"
95,The Philadelphia Story,tt0032904,7.9,61586,movie,The Philadelphia Story,1940,112,"Comedy,Romance"
96,The Third Man,tt0041959,8.1,154077,movie,The Third Man,1949,104,"Film-Noir,Mystery,Thriller"
97,Chinatown,tt0071315,8.2,284029,movie,Chinatown,1974,130,"Drama,Mystery,Thriller"
98,Spirted Away,tt0245429,8.6,618078,movie,Spirited Away,2002,120,"Drama,Fantasy,Mystery"
99,Wedding Crashers,tt0396269,6.9,326164,movie,Wedding Crashers,2005,119,"Comedy,Romance"
100,Goodfellas,tt0099685,8.7,982326,movie,Goodfellas,1990,146,"Biography,Crime,Frama"
